major_category	trait_category	trait	n_qtl_rows	chrom_values	example_qtl_names	example_references	evidence_tier	notes
Physiological trait	Eating quality	Gel consistency	3	6,7	gc7.1,qGC6-2,qGC-6	Li, J., Xiao, J., Grandillo, S., Jiang, L., Wan, Y., Deng, Q., Yuan, L., and McCouch, S.R. (2004). QTL detection for rice grain quality traits using an interspecific backcross population derived from cultivated Asian (O. sativa L.) and African (O. glaberrima S.) rice. Genome 47, 697-704.,He, Y., Han, Y., Jiang, L., Xu, C., Lu, J., and Xu, M. (2006). Functional analysis of starch-synthesis genes in determining rice eating and cooking qualities Molecular Breeding 18, 277-290.,Tian, R., Jiang, G.-H., Shen, L.-H., Wang, L.-Q., and He, Y.-Q. (2005). Mapping quantitative trait loci underlying the cooking and eating quality of rice using a DH population Molecular Breeding 15, 117-124.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Eating quality	elongation ratio	3	2	qER-2,qER-2a,qER-2b	Liu, L.L., Yan, X.Y., Jiang, L., Zhang, W.W., Wang, M.Q., Zhou, S.R., Shen, Y., Shen, Y.Y., Liu, S.J., Chen, L.M., Wang, J.K., and Wan, J.M. (2008). Identification of stably expressed quantitative trait loci for cooked rice elongation in non-Basmati varieties. Genome 51, 104-112.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	Days-to-heading	3	3,8	qDTH8,Se8	Uga, Y., Nonoue, Y., Liang, Z.W., Lin, H.X., Yamamoto, S., Yamanouchi, U., and Yano, M. (2007). Accumulation of additive effects generates a strong photoperiod sensitivity in the extremely late-heading rice cultivar 'Nona Bokra'. Theor Appl Genet 114, 1457-1466.,Miyata, M., Yamamoto, T., Komori, T., and Nitta, N. (2007). Marker-assisted selection and evaluation of the QTL for stigma exsertion under japonica rice genetic background. Theor Appl Genet 114, 539-548.,Gu, X.Y., and Foley, M.E. (2007). Epistatic interactions of three loci regulate flowering time under short and long daylengths in a backcross population of rice. Theor Appl Genet 114, 745-754.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Germination/dormancy	Seed dormancy	3	12,3,5	qSD12,qSD-5	Gu, X.Y., Kianian, S.F., and Foley, M.E. (2006). Isolation of three dormancy QTLs as Mendelian factors in rice. Heredity 96, 93-99.,Miura, K., Lin, Y., Yano, M., and Nagamine, T. (2002). Mapping quantitative trait loci controlling seed longevity in rice ( Oryza sativa L.). Theor Appl Genet 104, 981-986.,Ishimaru, K., Yano, M., Aoki, N., Ono, K., Hirose, T., Lin, S.Y., Monna, L., Sasaki, T., and Ohsugi, R. (2001). Toward the mapping of physiological and agronomic characters on a rice function map: QTL analysis and comparison between QTLs and expressed sequence tags. TAG Theoretical and Applied Genetics 102, 793-800.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Lethality	hybrid breakdown	3	10,2,7	hwd1,hwd2,hbd1(t)	Fukuoka, S., and Okuno, K. (1997). RFLP mapping of complementary genes for hybrid breakdown in cultivated rice. Rice Genetics Newsletter 14, 99-102.,Matsubara, K., Ito, S., Nonoue, Y., Ando, T., and Yano, M. (2006). A novel gene responsible for hybrid breakdown found in a cross between japonica and indica cultivars in rice. Rice Genetics Newsletter 23.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Source activity	number of filled grains per panicle	3	1,6,7	qNFGP-7-1,qNFGP-6	Zhuang, J.Y., Fan, Y.Y., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2001). Comparison of the detection of QTL for yield traits in different generations of a rice cross using two mapping approaches. Yi Chuan Xue Bao 28, 458-464.,Zhuang, J.Y., Fan, Y.Y., Rao, Z.M., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2002). Analysis on additive effects and additive-by-additive epistatic effects of QTLs for yield traits in a recombinant inbred line population of rice. Theor Appl Genet 105, 1137-1145.,Zhuang, J.-Y., Wu, J.-L., Fan, Y.-Y., Rao, Z.-M., and Zheng, K.-L. (2001). Genetic drag between a blast resistance gene and QTL conditioning yield trait detected in a recombinant inbred line population in rice. Rice Genetics Newsletter 18, 69-70.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Sterility	Pollen fertility	3	10,12,7	qPLLN7,pf12	Yan, C.J., Liang, G.H., Gu, S.L., Yi, C.D., Lu, J.F., Li, X., Tang, S.Z., and Gu, M.H. (2003). Molecular marker analysis and genetic basis for sterility of typical indica/japonica hybrids. Yi Chuan Xue Bao 30, 267-276.,Song, X., Qiu, S.Q., Xu, C.G., Li, X.H., and Zhang, Q. (2005). Genetic dissection of embryo sac fertility, pollen fertility, and their contributions to spikelet fertility of intersubspecific hybrids in rice. Theor Appl Genet 110, 205-211.,Tan, X.L., Vanavichit, A., Amornsilpa, S., and Trangoonrung, S. (1998). Genetic analysis of rice CMS-WA fertility restoration based on QTL mapping. TAG Theoretical and Applied Genetics 97, 994-999.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Sterility	Spikelet fertility	3	1,10,6	sf1.1,qRf-10,spf6	Marri, P.R., Sarla, N., Reddy, L.V., and Siddiq, E.A. (2005). Identification and mapping of yield and yield related QTLs from an Indian accession of Oryza rufipogon. BMC Genet 6, 33.,Zhuang, J.Y., Fan, Y.Y., Wu, J.L., Rao, Z.M., Xia, Y.W., and Zheng, K.L. (2001). Mapping genes for rice CMS-WA fertility restoration. Yi Chuan Xue Bao 28, 129-134.,Song, X., Qiu, S.Q., Xu, C.G., Li, X.H., and Zhang, Q. (2005). Genetic dissection of embryo sac fertility, pollen fertility, and their contributions to spikelet fertility of intersubspecific hybrids in rice. Theor Appl Genet 110, 205-211.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Other disease resistance	yellow mottle virus (RYMV)	3	12,2,9	Symptoms,Area Under Symptoms Progression Curve (AUSPC)	Albar, L., Lorieux, M., Ahmadi, N., Rimbault, I., Pinel, A., Sy, A.A., Fargette, D., and Ghesqui?re, A. (1998). Genetic basis and mapping of the resistance to rice yellow mottle virus. I. QTLs identification and relationship between resistance and plant morphology. TAG Theoretical and Applied Genetics 97, 1145-1154.,Boisnard, A., Albar, L., Thiemele, D., Rondeau, M., and Ghesquiere, A. (2007). Evaluation of genes from eIF4E and eIF4G multigenic families as potential candidates for partial resistance QTLs to Rice yellow mottle virus in rice. Theor Appl Genet 116, 53-62.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Submergency tolerance	Lowest elongated internode	3	12,3	qLEI3,qLEI12	Hattori, Y., Nagai, K., Mori, H., Kitano, H., Matsuoka, M., and Ashikari, M. (2008). Mapping of three QTLs that regulate internode elongation in deepwater rice. Breeding Science 58, 39-46.,Hattori, Y., Miura, K., Asano, K., Yamamoto, E., Mori, H., Kitano, H., Matsuoka, M., and Ashikari, M. (2007). A Major QTL Confers Rapid Internode Elongation in Response to Water Rise in Deepwater Rice. Breeding Science 57, 305-314.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf		2	3,4	mori1,orl1	Nishimura, A., Sato, Y., Kitano, H., Nagato, Y., Ashikari, M., and Matsuoka, M. (2001). Mapping of the rice MORI1 gene. Rice Genetics Newsletter 18, 30-31.,Kamiya, N., Ashikari, M., Sato, Y., Nagato, Y., Kitano, H., and Matsuoka, M. (2001). Mapping of the ORGANLESS1 gene, ORL1. Rice Genetics Newsletter 18, 33-34.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	flag leaf angle	2	1,5	fla1,QFla5	Yan, J., Zhu, J., He, C., Benmoussa, M., and Wu, P. (1999). Molecular marker-assisted dissection of genotype &times; environment interaction for plant type traits in rice (Oryza sativa L.). Crop Sci. 39, 538-544.,Li, Z., Paterson, A., Pinson, S., and Stansel, J. (1999). RFLP facilitated analysis of tiller and leaf angles in rice (Oryza sativa L.). Euphytica 109, 79-84.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	flag leaf length	2	1,3	fll1,QFll3	Yan, J., Zhu, J., He, C., Benmoussa, M., and Wu, P. (1999). Molecular marker-assisted dissection of genotype &times; environment interaction for plant type traits in rice (Oryza sativa L.). Crop Sci. 39, 538-544.,Mei, H.W., Luo, L.J., Ying, C.S., Wang, Y.P., Yu, X.Q., Guo, L.B., Paterson, A.H., and Li, Z.K. (2003). Gene actions of QTLs affecting several agronomic traits resolved in a recombinant inbred rice population and two testcross populations. Theor Appl Genet 107, 89-101.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	tiller angle	2	9	ta9,Tac1	Yan, J., Zhu, J., He, C., Benmoussa, M., and Wu, P. (1999). Molecular marker-assisted dissection of genotype &times; environment interaction for plant type traits in rice (Oryza sativa L.). Crop Sci. 39, 538-544.,Yu, B., Lin, Z., Li, H., Li, X., Li, J., Wang, Y., Zhang, X., Zhu, Z., Zhai, W., Wang, X., Xie, D., and Sun, C. (2007). TAC1, a major quantitative trait locus controlling tiller angle in rice. Plant J 52, 891-898.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Grains/panicle	2	1,7	gp1a,gp7a	Yu, S.B., Li, J.X., Xu, C.G., Tan, Y.F., Gao, Y.J., Li, X.H., Zhang, Q., and Maroof, M.A.S. (1997). Importance of epistasis as the genetic basis of heterosis in an elite rice hybrid. PNAS 94, 9226-9231.,Li, J.X., Yu, S.B., Xu, C.G., Tan, Y.F., Gao, Y.J., Li, X.H., and Zhang, Q. (2000). Analyzing quantitative trait loci for yield using a vegetatively replicated F2 population from a cross between the parents of an elite rice hybrid. TAG Theoretical and Applied Genetics 101, 248-254.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Spikelet density	2	5,6	sd6,QPl5	Lin, H.X., Qian, H.R., Zhuang, J.Y., Lu, J., Min, S.K., M.Xiong, Z., Huang, N., and Zheng, K.L. (1995). Interval mapping of QTLs for yield and other related characters in rice. Rice Genetics Newsletter 12, 251-253.,Li, Z., Pinson, S.R.M., Stansel, J.W., and Paterson, A.H. (1998). Genetic dissection of the source-sink relationship affecting fecundity and yield in rice (shape Oryza sativa L.) Molecular Breeding 4, 419-426.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	Spikelets per panicle	2	3,6	spp3.1,qSPN-6	Thomson, M.J., Tai, T.H., McClung, A.M., Lai, X.H., Hinga, M.E., Lobos, K.B., Xu, Y., Martinez, C.P., and McCouch, S.R. (2003). Mapping quantitative trait loci for yield, yield components and morphological traits in an advanced backcross population between Oryza rufipogon and the Oryza sativa cultivar Jefferson. Theor Appl Genet 107, 479-493.,Li, J.Z., Zheng, X.W., Zhu, L.H., He, P., and Lu, R.L. (1999). Identification and interaction analysis of six agronomic trait loci of rice based on a recombinant inbred population. Acta Bot Sinica 41, 1199-1203	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	spikelet number per panicle	2	3,4	qSNP-4a,Qsnp3b	Mei, H.W., Xu, J.L., Li, Z.K., Yu, X.Q., Guo, L.B., Wang, Y.P., Ying, C.S., and Luo, L.J. (2006). QTLs influencing panicle size detected in two reciprocal introgressive line (IL) populations in rice (Oryza sativa L.). Theor Appl Genet 112, 648-656.,Xu, J.L., Xue, Q.Z., Luo, L.J., and Li, Z.K. (2001). QTL dissection of panicle number per plant and spikelet number per panicle in rice (Oryza sativa L.). Yi Chuan Xue Bao 28, 752-759.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Root	Deep root weight per tiller	2	2,4		Courtois, B., Shen, L., Petalcorin, W., Carandang, S., Mauleon, R., and Li, Z. (2003). Locating QTLs controlling constitutive root traits in the rice population IAC 165 × Co39. Euphytica V134, 335-345.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Root	Root thickness 0-10 cm	2	3,4		Kamoshita, A., Wade, J., Ali, L., Pathan, S., Zhang, J., Sarkarung, S., and Nguyen, T. (2002). Mapping QTLs for root morphology of a rice population adapted to rainfed lowland conditions. Theor Appl Genet 104, 880-893.,Kamoshita, A., Zhang, J., Siopongco, J., Sarkarung, S., Nguyen, H.T., and Wade, L.J. (2002). Effects of Phenotyping Environment on Identification of Quantitative Trait Loci for Rice Root Morphology under Anaerobic Conditions. Crop Sci. 42, 255-265.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Root	Rooting depth	2	4,5		Kamoshita, A., Wade, J., Ali, L., Pathan, S., Zhang, J., Sarkarung, S., and Nguyen, T. (2002). Mapping QTLs for root morphology of a rice population adapted to rainfed lowland conditions. Theor Appl Genet 104, 880-893.,Kamoshita, A., Zhang, J., Siopongco, J., Sarkarung, S., Nguyen, H.T., and Wade, L.J. (2002). Effects of Phenotyping Environment on Identification of Quantitative Trait Loci for Rice Root Morphology under Anaerobic Conditions. Crop Sci. 42, 255-265.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	1000 grain weight	2	1,12	qTGW1-3	Hittalmani, S., Huang, N., Courtois, B., Venuprasad, R., Shashidhar, H.E., Zhuang, J.Y., Zheng, K.L., Liu, G.F., Wang, G.C., Sidhu, J.S., Srivantaneeyakul, S., Singh, V.P., Bagali, P.G., Prasanna, H.C., McLaren, G., and Khush, G.S. (2003). Identification of QTL for growth- and grain yield-related traits in rice across nine locations of Asia. Theor Appl Genet 107, 679-690.,Zhuang, J.Y., Fan, Y.Y., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2000). Comparison of QTL detection for yield traits using F2 and recombinant inbred lines in rice. Rice Genetics Newsletter 17, 49-51.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	Grain width	2	3	qGW-3,qGW3	Li, Z.F., Wan, J.M., Xia, J.F., and Zhai, H.Q. (2003). Mapping quantitative trait loci underlying appearance quality of rice grains (Oryza sativa L.). Yi Chuan Xue Bao 30, 251-259.,Miyata, M., Yamamoto, T., Komori, T., and Nitta, N. (2007). Marker-assisted selection and evaluation of the QTL for stigma exsertion under japonica rice genetic background. Theor Appl Genet 114, 539-548.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	Harvest index	2	1	qHID-1,qHID1-2	Hittalmani, S., Shashidhar, H.E., Bagali, P.G., Huang, N., Sidhu, J.S., Singh, V.P., and Khush, G.S. (2002). Molecular mapping of quantitative trait loci for plant growth, yield and yield related traits across three diverse locations in a doubled haploid rice population. Euphytica V125, 207-214.,Hittalmani, S., Huang, N., Courtois, B., Venuprasad, R., Shashidhar, H.E., Zhuang, J.Y., Zheng, K.L., Liu, G.F., Wang, G.C., Sidhu, J.S., Srivantaneeyakul, S., Singh, V.P., Bagali, P.G., Prasanna, H.C., McLaren, G., and Khush, G.S. (2003). Identification of QTL for growth- and grain yield-related traits in rice across nine locations of Asia. Theor Appl Genet 107, 679-690.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	Seed weight	2	1,6	qSW1-3	Hagiwara, W.E., Onishi, K., Takamure, I., and Sano, Y. (2006). Transgressive segregation due to linked QTLs for grain characteristics of rice. Euphytica V150, 27-35.,Cui, H., Peng, B., Xing, Z., Xu, G., Yu, B., and Zhang, Q. (2002). Molecular dissection of seedling-vigor and associated physiological traits in rice. Theor Appl Genet 105, 745-753.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	Yield per plant	2	3,9	yldp9.1,yld3.2	Marri, P.R., Sarla, N., Reddy, L.V., and Siddiq, E.A. (2005). Identification and mapping of yield and yield related QTLs from an Indian accession of Oryza rufipogon. BMC Genet 6, 33.,Thomson, M.J., Tai, T.H., McClung, A.M., Lai, X.H., Hinga, M.E., Lobos, K.B., Xu, Y., Martinez, C.P., and McCouch, S.R. (2003). Mapping quantitative trait loci for yield, yield components and morphological traits in an advanced backcross population between Oryza rufipogon and the Oryza sativa cultivar Jefferson. Theor Appl Genet 107, 479-493.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	Yield(1998)	2	1	yd1,yd1b	Hua, J.P., Xing, Y.Z., Xu, C.G., Sun, X.L., Yu, S.B., and Zhang, Q. (2002). Genetic Dissection of an Elite Rice Hybrid Revealed That Heterozygotes Are Not Always Advantageous for Performance. Genetics 162, 1885-1895.,Xing, Z., Tan, F., Hua, P., Sun, L., Xu, G., and Zhang, Q. (2002). Characterization of the main effects, epistatic effects and their environmental interactions of QTLs on the genetic basis of yield traits in rice. Theor Appl Genet 105, 248-257.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	grain shape	2	1,3		Rabiei, B., Valizadeh, M., Ghareyazie, B., Moghaddam, M., and Ali, A.J. (2004). Identification of QTLs for rice grain size and shape of Iranian cultivars using SSR markers. Euphytica V137, 325-332.,Huang, N., Parco, A., Mew, T., Magpantay, G., McCouch, S., Guiderdoni, E., Xu, J., Subudhi, P., Angeles, E.R., and Khush, G.S. (1997). RFLP mapping of isozymes, RAPD and QTLs for grain shape, brown planthopper resistance in a doubled haploid rice population Molecular Breeding 3, 105-113.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	grain thickness	2	5	qTHJ-5	Yoshida, S., Ikegami, M., Kuze, J., Sawada, K., Hashimoto, Z., Ishii, T., Nakamura, C., and Kamijima, O. (2002). QTL Analysis for Plant and Grain Characters of Sake-brewing Rice Using a Doubled Haploid Population. Breeding Science 52, 309-317.,Abdelkhalik, A.F., Shishido, R., Nomura, K., and Ikehashi, H. (2005). QTL-Based Analysis of Heterosis for Grain Shape Traits and Seedling Characteristics in an indica-japonica Hybrid in Rice (Oryza sativa L.). Breeding Science 55, 41-48.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
